typeNameIndex,cityGuid,totalArea,classCount,teacher,student
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15341","37","96",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14674","26","62","934"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14674","26","62","934"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10052","30","114",690
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15341","37","96",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28801.06","30","92",600
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","49358","30","112",690
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14802","30","121",840
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3.32","27","79","893"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50694","74","250",2072
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30015","28","94","1025"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34483.9","46","158",1610
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25916","32","110","1272"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","49358","30","112",630
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31148.9","26","86",754
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23100","23","102",483
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","60609","30","111","1143"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50025","25","110","1000"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35000","48","185",1872
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28014","74","209",2294
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28014","74","209",2146
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16008","27","101",783
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20677","31","94","1042"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12993","25","71",775
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28014","74","209",2442
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10589","20","80","728"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12632","55","100","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21000","30","94","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11500","17","62","650"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50694","70","250",2590
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","39393","22","110",682
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10933","17","71","595"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6704","47","180",1551
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2","28","90",560
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10005","15","45","550"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12000","18","63","618"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11872","25","79","800"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22011","37","130",962
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28014","74","209",1702
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11872","25","83","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33350","47","160","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35351","52","150","2000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11872","25","83","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12006","18","44","416"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3084","9","38","250"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","46405","34","134","1175"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35000","48","185",1488
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14340.5","36","131",1368
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6700","14","52",406
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6100","14","42","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11872","25","83","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12072.7","20","73","815"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11500","20","70","650"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31015.5","45","160","1800"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4650","14","47","560"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22011","37","130",1332
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","209438","46","200",1288
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31756","12","76","271"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18009","20","61",760
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33350","28","110",560
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3190928","18","56","589"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11772","9","44",279
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","466","34","138","1350"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18664","32","120","1300"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20282","16","66",608
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12214","15","41","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","41591","84","32","3000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19980","27","97","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8671","29","132",725
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7000","20","57","614"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20010000","3","47",69
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20010","19","70",494
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22678","29","104",1044
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17342","17","85",612
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15400","10","43",270
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11339","23","74","790"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23106","110","300",4180
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28741","55","135","2087"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6470","17","96","657"
