typeNameIndex,cityGuid,classCount,teacher,student
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","96",1073
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","92",600
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","112",690
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","121",840
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","27","79","893"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","74","250",2072
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","94","1025"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","46","158",1610
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","110","1272"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","112",630
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","86",754
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","102",483
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","111","1143"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","110","1000"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","48","185",1872
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","74","209",2294
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","74","209",2146
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","27","101",783
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","94","1042"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","71",775
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","74","209",2442
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","80","728"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","55","100","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","94","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","62","650"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","70","250",2590
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","110",682
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","71","595"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","47","180",1551
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","90",560
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","45","550"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","63","618"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","79","800"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","130",962
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","74","209",1702
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","83","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","47","160","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","52","150","2000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","83","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","44","416"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9","38","250"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","134","1175"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","48","185",1488
